"";"x"
"83";"Inferentiële statistiek,Regressie (inferentiële stat.),Toets (H0 : ß1 = 0), Bhi en predictieinterval voor Y bij gegeven X-waarde"
"84";"Inferentiële statistiek,Regressie (inferentiële stat.),Toets (H0 : ß1 = 0), Relatie met toets voor ? = 0."
"85";"Inferentiële statistiek,Regressie (inferentiële stat.),Toets (H0 : ß1 = 0), Tgh m.b.v. T-verdeling"
"86";"Inferentiële statistiek,T-Toetsen"
"87";"Inferentiële statistiek,T-Toetsen,1 steekproef T-toets"
"88";"Inferentiële statistiek,T-Toetsen,Correlatie (inferentiële stat.),Toets (H0: ? = 0), Tgh m.b.v. T-verdeling en p-waarde alleen via ß1,Gepaarde T toets"
"89";"Inferentiële statistiek,T-Toetsen,Gepaarde T toets"
"90";"Inferentiële statistiek,T-Toetsen,T toets voor 2 onafh. Steekproeven"
"91";"Inferentiële statistiek,T-Toetsen,T-verdeling, vrijheidsgraden"
"92";"Inferentiële statistiek,Toetstheorie"
"93";"Inferentiële statistiek,Toetstheorie,Anova,Oneway, ANOVA-table,p-waarde"
"94";"Inferentiële statistiek,Toetstheorie,Anova,Oneway, ANOVA-table,Statistische significantie, H0 wel/niet verwerpen, conclusie in context"
"95";"Inferentiële statistiek,Toetstheorie,Anova,Oneway, F-verdeling,p-waarde"
"96";"Inferentiële statistiek,Toetstheorie,Anova,Oneway, F-verdeling,Toetsingsgrootheid (tgh)"
"97";"Inferentiële statistiek,Toetstheorie,Dichotome data,Binomiaaltoets (Z-benadering),Kritieke waarde / kritiek gebied"
"98";"Inferentiële statistiek,Toetstheorie,Hypotheses (nul en alternatief; één- en tweezijdig)"
"99";"Inferentiële statistiek,Toetstheorie,Intervalschatting,Betrouwbaarheidsinterval voor mu, Interpretatie,Risico alpha of beta (fout van de eerste of tweede soort)"
"100";"Inferentiële statistiek,Toetstheorie,Kansverdeling van tgh onder H0"
"101";"Inferentiële statistiek,Toetstheorie,Kritieke waarde / kritiek gebied"
"102";"Inferentiële statistiek,Toetstheorie,Non-parametrische toetsen,Risico alpha of beta (fout van de eerste of tweede soort)"
"103";"Inferentiële statistiek,Toetstheorie,p-waarde"
"104";"Inferentiële statistiek,Toetstheorie,Power en steekproefomvang"
"105";"Inferentiële statistiek,Toetstheorie,Power en steekproefomvang,Kritieke waarde / kritiek gebied"
"106";"Inferentiële statistiek,Toetstheorie,Power en steekproefomvang,p-waarde"
"107";"Inferentiële statistiek,Toetstheorie,Regressie (inferentiële stat.),Toets (H0 : ß1 = 0), Tgh m.b.v. T-verdeling,p-waarde"
"108";"Inferentiële statistiek,Toetstheorie,Risico alpha of beta (fout van de eerste of tweede soort)"
"109";"Inferentiële statistiek,Toetstheorie,Risico alpha of beta (fout van de eerste of tweede soort),Power en steekproefomvang"
"110";"Inferentiële statistiek,Toetstheorie,Statistische significantie, H0 wel/niet verwerpen, conclusie in context"
"111";"Inferentiële statistiek,Toetstheorie,T-Toetsen,Gepaarde T toets,Kritieke waarde / kritiek gebied"
"112";"Inferentiële statistiek,Toetstheorie,T-Toetsen,Gepaarde T toets,Toetsingsgrootheid (tgh)"
"113";"Inferentiële statistiek,Toetstheorie,T-Toetsen,T toets voor 2 onafh. Steekproeven,Kritieke waarde / kritiek gebied"
"114";"Inferentiële statistiek,Toetstheorie,T-Toetsen,T toets voor 2 onafh. Steekproeven,Toetsingsgrootheid (tgh)"
"115";"Inferentiële statistiek,Toetstheorie,Toetsingsgrootheid (tgh)"
