oldTax;newTax
Beschrijvende statistiek,Regressie (beschrijvende stat.),Interpretatie intercept en r.c.,Verband met corr coeff;Inferential Statistics/Regression/Intercept
Beschrijvende statistiek,Regressie (beschrijvende stat.),Invloed van extra punt op regressie vgl.;Inferential Statistics/Regression/Simple linear regression
Beschrijvende statistiek,Regressie (beschrijvende stat.),Populatieverdelingen;Inferential Statistics/Regression/Simple linear regression
Beschrijvende statistiek,Regressie (beschrijvende stat.),Regressielijn;Inferential Statistics/Regression/Slope
Beschrijvende statistiek,Regressie (beschrijvende stat.),Schatten regressievergelijking;Inferential Statistics/Regression/Equation
Beschrijvende statistiek,Regressie (beschrijvende stat.),Verband met corr coeff;Inferential Statistics/Regression/Simple linear regression
Beschrijvende statistiek,Regressie (beschrijvende stat.),Voorspelde Y bij gegeven X;Inferential Statistics/Regression/Simple linear regression
Gepaarde T toets,Toetsingsgrootheid (tgh);Inferential Statistics/Parametric Techniques/t-test/Paired samples
Inferentiële statistiek;Inferential Statistics
Inferentiële statistiek,Anova;Inferential Statistics/Parametric Techniques/ANOVA
Inferentiële statistiek,Anova,Oneway, ANOVA-table;Inferential Statistics/Parametric Techniques/ANOVA/Oneway ANOVA
Inferentiële statistiek,Anova,Oneway, F-verdeling;Inferential Statistics/Parametric Techniques/ANOVA/ANOVA F-test
Inferentiële statistiek,Anova,Twoway + interactie;Inferential Statistics/Parametric Techniques/ANOVA/Twoway ANOVA
Inferentiële statistiek,Correlatie (inferentiële stat.),Toets (H0: ? = 0), Tgh m.b.v. T-verdeling en p-waarde alleen via ß1;Inferential Statistics/Parametric Techniques/t-test
Inferentiële statistiek,Dichotome data,Binomiaaltoets (Z-benadering);Inferential Statistics/Non-parametric Techniques/Binomial test
Inferentiële statistiek,Dichotome data,Pearson's Chi-kwadraat;Inferential Statistics/NHST/Test statistic/Chi-squared
Inferentiële statistiek,Intervalschatting;Inferential Statistics/Confidence Intervals
Inferentiële statistiek,Intervalschatting,Betrouwbaarheidsinterval voor mu, Coverage (95%, 99%);Inferential Statistics/Confidence Intervals/Confidence level
Inferentiële statistiek,Intervalschatting,Betrouwbaarheidsinterval voor mu, Interpretatie;Inferential Statistics/Confidence Intervals/Confidence level
Inferentiële statistiek,Intervalschatting,Bhi voor proportie pi;Inferential Statistics/Confidence Intervals/Confidence level
Inferentiële statistiek,Non-parametrische toetsen;Inferential Statistics/Non-parametric Techniques
Inferentiële statistiek,Non-parametrische toetsen,Mann-Whitney / Wilcoxon Rank Sum test;Inferential Statistics/Non-parametric Techniques/Rank Sum test
Inferentiële statistiek,Non-parametrische toetsen,Wilcoxon (Matched Pairs) Signed Rank test;Inferential Statistics/Non-parametric Techniques/Signed Rank test
Inferentiële statistiek,Regressie (inferentiële stat.);Inferential Statistics/Regression
Inferentiële statistiek,Regressie (inferentiële stat.),Anova,Oneway, ANOVA-table;Inferential Statistics/Regression/Sum of squares
Inferentiële statistiek,Regressie (inferentiële stat.),Toets (H0 : ß1 = 0), Bhi en predictieinterval voor Y bij gegeven X-waarde;Inferential Statistics/Regression/Equation
Inferentiële statistiek,Regressie (inferentiële stat.),Toets (H0 : ß1 = 0), Relatie met toets voor ? = 0.;Inferential Statistics/Regression/Simple linear regression
Inferentiële statistiek,Regressie (inferentiële stat.),Toets (H0 : ß1 = 0), Tgh m.b.v. T-verdeling;Inferential Statistics/Regression/Simple linear regression
Inferentiële statistiek,T-Toetsen;Inferential Statistics/Parametric Techniques/t-test
Inferentiële statistiek,T-Toetsen,1 steekproef T-toets;Inferential Statistics/Parametric Techniques/t-test/One sample mean
