"oldTax";"newTax"
"exsection: Inferenti?le statistiek,Anova,Twoway + interactie ";"exsection: Inferential Statistics/Parametric Techniques/ANOVA/Twoway ANOVA"
"exsection: Inferenti?le statistiek,T-Toetsen,T toets voor 2 onafh. Steekproeven ";"exsection: Inferential Statistics/Parametric Techniques/t-test/Independent samples means"
"exsection: Inferenti?le statistiek,Anova,Oneway, F-verdeling ";"exsection: Distributions/Continuous/F-distribution"
"exsection: Inferenti?le statistiek,T-Toetsen,1 steekproef T-toets ";"exsection: Inferential Statistics/Parametric Techniques/t-test/One sample mean"
"exsection: Inferenti?le statistiek,Intervalschatting,Betrouwbaarheidsinterval voor mu, Interpretatie ";"exsection: Inferential Statistics/Confidence Intervals"
"exsection: Inferenti?le statistiek,Non-parametrische toetsen ";"exsection: Inferential Statistics/Non-parametric Techniques"
"exsection: Inferenti?le statistiek,Toetstheorie,Risico alpha of beta,Power en steekproefomvang ";"exsection: Inferential Statistics/NHST/Statistical errors"
"exsection: Inferenti?le statistiek,Correlatie (inferenti?le stat.),Toets (H0: ? = 0), Tgh m.b.v. T-verdeling en p-waa ";"exsection: Inferential Statistics/NHST/Test statistic/t-statistic"
"exsection: Inferenti?le statistiek,Toetstheorie,Risico alpha of beta ";"exsection: Inferential Statistics/NHST/Statistical errors"
"exsection: Inferenti?le statistiek ";"exsection: Inferential Statistics"
"exsection: Inferenti?le statistiek,Anova,Oneway, ANOVA-table ";"exsection: Inferential Statistics/Parametric Techniques/ANOVA/Oneway ANOVA"
"exsection: Inferenti?le statistiek,Toetstheorie,Kritieke waarde / kritiek gebied ";"exsection: Inferential Statistics/NHST/Significance level/Critical value"
"exsection: Inferenti?le statistiek,T-Toetsen ";"exsection: Inferential Statistics/Parametric Techniques/t-test"
"exsection: Inferenti?le statistiek,Toetstheorie,Power en steekproefomvang ";"exsection: Inferential Statistics/NHST/Power"
"exsection: Inferenti?le statistiek,Dichotome data,Pearson's Chi-kwadraat ";"exsection: Inferential Statistics/NHST/Test statistic/Chi-squared"
"exsection: Inferenti?le statistiek,Non-parametrische toetsen,Wilcoxon (Matched Pairs) Signed Rank test ";"exsection: Inferential Statistics/Non-parametric Techniques/Signed Rank test"
"exsection: Inferenti?le statistiek,T-Toetsen,Gepaarde T toets ";"exsection: Inferential Statistics/Parametric Techniques/t-test/Paired samples"
"exsection: Inferenti?le statistiek,Toetstheorie,Kansverdeling van tgh onder H0 ";"exsection: Distributions/Continuous/Normal"
"exsection: Inferenti?le statistiek,Toetstheorie,T-Toetsen,T toets voor 2 onafh. Steekproeven,Kritieke waarde / kritiek gebied ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,Anova,Oneway, F-verdeling,Toetsingsgrootheid (tgh) ";"exsection: "
"exsection: Inferenti?le statistiek,T-Toetsen,Correlatie (inferenti?le stat.),Toets (H0: ? = 0), Tgh m.b.v. T-verdeling en p-waa,Gepaarde T toets ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,T-Toetsen,T toets voor 2 onafh. Steekproeven,Toetsingsgrootheid (tgh) ";"exsection: "
